Product,Sale Date,Sale to Email,Unit Cost,Units Sold,Discount Percent,Confirmation,Shipper
Phone Case,24-Aug-19,carolyne.centore@agtf.com,19.95,7,10,629C-411D-9B80-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Sticker,8-Jan-20,boyd.rearden@agt8.com,1.99,7,10,629C-411D-9B9D-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Charging Cord,24-Oct-19,twila.coolbeth@ags0.com,6.95,7,10,629C-411D-9B71-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Spinner,3-Nov-19,taylor.cauchon@aguc.com,5.95,1,0,629C-411D-9BA1-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Sticker,4-Aug-19,quinn.yerdon@agur.com,1.99,5,10,629C-411D-9BB0-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Stress Ball,26-Feb-20,sharla.topper@agum.com,5.95,2,10,629C-411D-9BAB-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Pen,29-Oct-19,merlyn.summerford@aguy.com,2.99,1,0,629C-411D-9BB7-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Phone Case,29-Apr-19,jeraldine.audet@ags2.com,19.95,2,10,629C-411D-9B73-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Pen,28-Jul-19,hildred.donnel@agtt.com,2.99,8,10,629C-411D-9B8E-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Charging Cord,5-Sep-19,lecia.alvino@ags7.com,6.95,1,0,629C-411D-9B78-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Letter Head,15-Jun-19,herb.tammen@agvi.com,8.95,6,10,629C-411D-9BCB-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Phone Case,19-Jul-19,danica.riogas@agvd.com,19.95,1,0,629C-411D-9BC6-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Stress Ball,17-Feb-20,latoria.siprasoeuth@agux.com,5.95,1,0,629C-411D-9BB6-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Spinner,15-Sep-19,daisy.liddicoat@agvg.com,5.95,6,10,629C-411D-9BC9-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Stress Ball,1-Aug-19,horacio.rainbolt@agub.com,5.95,8,10,629C-411D-9BA0-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Stress Ball,8-Jul-19,jacklyn.niskala@agvh.com,5.95,6,10,629C-411D-9BCA-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Spinner,13-Jan-20,andrew.schieferstein@agun.com,5.99,4,10,629C-411D-9BAC-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Pen,1-Jul-19,vincent.hibberd@agul.com,2.99,3,10,629C-411D-9BAA-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Spinner,7-Dec-19,gerda.bartha@agu7.com,5.99,5,10,629C-411D-9BC0-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Stress Ball,5-Aug-19,kaylene.lusco@ague.com,5.95,4,10,629C-411D-9BA3-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Sticker,3-May-19,linda.merida@agtn.com,1.99,3,10,629C-411D-LB88-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Spinner,12-May-19,janey.fornell@agu6.com,5.99,4,10,629C-411D-9BBF-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Charging Cord,16-Sep-19,marc.domanski@agud.com,6.95,7,10,629C-411D-9BA2-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Spinner,16-May-19,jannie.thibideau@agu5.com,5.99,2,10,629C-411D-9BBE-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Pen,25-Sep-19,verlie.ashland@agvj.com,2.99,2,10,629C-411D-9BCC-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Spinner,5-Feb-20,meg.vetterkind@agus.com,5.99,8,10,629C-411D-9BB1-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Charging Cord,13-Oct-19,shakita.sablock@agti.com,6.95,4,10,629C-411D-9B83-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Spinner,1-Jan-20,milo.manoni@agsu.com,5.99,4,10,629C-411D-9B6B-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Stress Ball,10-Apr-20,kurtis.parham@aguq.com,5.95,6,10,629C-411D-9BAF-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Spinner,31-Mar-20,chaya.greczkowski@agsz.com,5.99,8,10,629C-411D-9B70-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Sticker,8-Jan-20,lai.kurtich@aguj.com,1.99,3,10,K29C-411D-9BA8-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Spinner,5-May-19,august.rupel@agsw.com,5.95,6,10,629C-411D-9B6D-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Spinner,28-Sep-19,nestor.caparros@agtp.com,5.95,1,0,629C-411D-9B8A-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Charging Cord,4-Oct-19,carter.sacarello@agtm.com,6.95,1,0,629C-411D-9B87-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Phone Case,3-Jan-20,cori.ablin@agtw.com,19.95,5,10,629C-411D-9B91-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Charging Cord,15-Apr-20,bernardo.phoenix@agte.com,6.95,6,10,629C-411D-9B7F-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Charging Cord,15-Jan-20,tressa.coppens@agtk.com,6.95,4,10,629C-411D-9B85-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Phone Case,14-Jun-19,carlotta.achenbach@ags1.com,19.95,1,0,629C-411D-9B72-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Sticker,19-Feb-20,lucas.summerill@aguk.com,1.99,4,10,629C-411D-9BA9-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Pen,27-Apr-19,elaine.moncure@aguh.com,2.99,4,10,629C-411D-9BA6-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Pen,22-Nov-19,ambrose.hiday@agua.com,2.99,5,10,629C-411D-9B9F-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Charging Cord,17-Aug-19,sandy.heffren@agtj.com,6.95,2,10,629C-411D-9B84-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Sticker,7-Mar-20,tabetha.florentino@agvf.com,1.99,4,10,629C-411D-9BC8-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Phone Case,21-Dec-19,dexter.petiet@agu3.com,19.95,7,10,629C-411D-9BBC-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Sticker,26-Oct-19,coralee.acerno@agty.com,1.99,3,10,629C-411D-9B93-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Spinner,2-Aug-19,joleen.himmelmann@ags8.com,5.99,1,0,629C-411D-9B79-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Stress Ball,23-Dec-19,august.arouri@ags3.com,5.95,6,10,629C-411D-9B74-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Letter Head,29-Aug-19,pete.chevis@agt2.com,8.95,2,10,629C-411D-9B97-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Spinner,11-Dec-19,ruthann.nixa@agtr.com,5.99,6,10,629C-411D-9B8C-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Stress Ball,24-Jul-19,monty.kinnamon@ags9.com,5.95,4,10,629C-411D-9B7A-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Charging Cord,10-May-19,laveta.wida@flowerpwr.com,6.95,4,10,629C-411D-9BBB-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Spinner,2-May-19,erda.sheer@agt1.com,5.99,2,10,629C-411D-9B96-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Wrist Band,3-Jul-19,rhoda.hasfjord@agtv.com,4.99,2,10,629C-411D-9B90-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Wrist Band,31-Oct-19,shira.arocho@agtl.com,4.99,3,10,629C-411D-9B86-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Stress Ball,7-Aug-19,nelson.koschnitzki@aguz.com,5.95,8,10,629C-411D-9BB8-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Wrist Band,28-Jan-20,dania.grizzard@agta.com,4.99,3,10,629C-411D-9B7B-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Pen,25-Oct-19,ayana.barkhurst@ags5.com,2.99,6,10,629C-411D-9B76-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Spinner,16-Apr-20,norris.michener@aguf.com,5.95,1,0,629C-411D-9BA4-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Wrist Band,15-Jul-19,alex.binette@argaff.com,4.99,1,0,629C-411D-9BB2-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Spinner,25-Jul-19,nella.rupnick@agt4.com,5.99,7,10,629C-411D-9B99-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Phone Case,6-Feb-20,luis.pothoven@agtd.com,19.95,3,10,629C-411D-9B7E-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Wrist Band,17-Jul-19,chet.morano@agu4.com,4.99,1,0,629C-411D-9BBD-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Phone Case,13-May-19,fidel.creps@stemins.com,19.95,3,10,629C-411D-9B7D-1A12-E053-6F31-C40A-DAA7,Island Delivery Services
Charging Cord,4-Jan-20,rey.wada@aguo.com,6.95,5,10,629C-411D-9BAD-1A12-E053-6F31-C40A-DAA7,Island Delivery Services
Letter Head,18-Feb-20,matilda.toedebusch@agu9.com,8.95,3,10,629C-411D-9BC2-1A12-E053-6F31-C40A-DAA7,Island Delivery Services
Spinner,27-Feb-20,adeline.iannotti@agu0.com,5.99,1,0,629C-411D-9BB9-1A12-E053-6F31-C40A-DAA7,Island Delivery Services
Phone Case,13-Jul-19,cornell.pratico@agtg.com,19.95,6,10,629C-411D-9B81-1A12-E053-6F31-C40A-DAA7,Island Delivery Services
Charging Cord,12-Nov-19,sam.rueb@agth.com,6.95,6,10,629C-411D-9B82-1A12-E053-6F31-C40A-DAA7,Island Delivery Services
Stress Ball,8-Nov-19,gricelda.luebbers@agss.com,5.95,8,10,629C-411D-9B69-1A12-E053-6F31-C40A-DAA7,Island Delivery Services
Sticker,1-Jun-19,katherine.tagg@agtz.com,1.95,6,10,629C-411D-9B94-1A12-E053-6F31-C40A-DAA7,Island Delivery Services
Sticker,13-Jul-19,azalee.goodwater@agt5.com,1.95,1,0,629C-411D-9B9A-1A12-E053-6F31-C40A-DAA7,Island Delivery Services
Spinner,15-Aug-19,desmond.lifschitz@agvb.com,5.99,6,10,629C-411D-9BC4-1A12-E053-6F31-C40A-DAA7,Island Delivery Services
Spinner,27-Oct-19,ali.brengle@aguu.com,5.99,5,10,629C-411D-9BB3-1A12-E053-6F31-C40A-DAA7,Island Delivery Services
Stress Ball,24-Oct-19,erasmo.riviera@agt9.com,5.95,1,0,629C-411D-9B9E-1A12-E053-6F31-C40A-DAA7,Island Delivery Services
Spinner,4-Apr-20,joshua.disano@agui.com,5.99,1,0,629C-411D-9BA7-1A12-E053-6F31-C40A-DAA7,Island Delivery Services
Spinner,7-Nov-19,lovie.ritacco@agsy.com,5.99,7,10,629C-411D-9B6F-1A12-E053-6F31-C40A-DAA7,Island Delivery Services
Letter Head,22-Aug-19,luther.ardinger@agtu.com,8.95,2,10,629C-411D-9B8F-1A12-E053-6F31-C40A-DAA7,Island Delivery Services
Pen,19-May-19,inez.yamnitz@agtb.com,2.99,3,10,629C-411D-9B7C-1A12-E053-6F31-C40A-DAA7,Island Delivery Services
Pen,22-Sep-19,kristina.livshits@agu8.com,2.99,2,10,629C-411D-9BC1-1A12-E053-6F31-C40A-DAA7,Island Delivery Services
Spinner,17-May-19,winfred.sohn@agto.com,5.99,3,10,629C-411D-9B89-1A12-E053-6F31-C40A-DAA7,Island Delivery Services
Stress Ball,9-May-19,ward.stepney@ags4.com,5.95,5,10,629C-411D-9B75-1A12-E053-6F31-C40A-DAA7,Island Delivery Services
Phone Case,1-Nov-19,jonell.pecatoste@agup.com,19.95,3,10,629C-411D-9BAE-1A12-E053-6F31-C40A-DAA7,Island Delivery Services
Sticker,11-Jan-20,olaf.orville@fpv.com,1.95,3,0,629C-412D-9BAE-1A12-H053-6F31-G40A-SFA7,Island Delivery Services
Sticker,23-Jun-19,anita.atkins@agup.com,1.95,1,0,629C-413D-9BAE-1A12-Y053-6F31-G40A-SJA7,Island Delivery Services
Sticker,11-Oct-19,yann.woodsman@agup.com,1.95,1,0,629C-Z14D-9BAE-1A12-P053-6F31-G40A-SAA7,Island Delivery Services
Sticker,26-Apr-19,john.jenkins@pe.com,1.95,100,20,629C-415D-9BAE-1A12-EG53-6F31-G40A-SAA7,Island Delivery Services
Sticker,11-Feb-20,marion.martin@ps.com,1.95,100,20,629C-Z16D-9BAE-1A12-E053-6F31-F40A-SQQ7,Island Delivery Services
Spinner,1-Apr-20,salome.guisti@agsx.com,5.99,7,10,629C-Z11D-9B6E-1A12-E053-6F31-C40A-DAA7,Island Delivery Services
